,id,title,publication_date,doi,cited,authors,locations,location_count
0,https://openalex.org/W4318909870,"Overcoming Vaccine Skepticism in Pakistan: A Cross-Sectional Study of Public Knowledge, Attitudes, and Behaviors towards COVID-19 Vaccination",2023-02-02,https://doi.org/10.5281/zenodo.7597141,13,Bibi Aisha Sadiqa,submittedVersion: European Organization for Nuclear Research - https://zenodo.org/record/7597141,1
1,https://openalex.org/W3197911323,The Political Economy of a Modern Pandemic: Assessing Impacts of COVID-19 on Migrants and Immigrants in Canada,2023-07-24,https://doi.org/10.32920/23739360.v1,7,"John Shields, Zainab Abu Alrob","submittedVersion - https://doi.org/10.32920/23739360.v1, submittedVersion: La Trobe University - https://figshare.com/articles/journal_contribution/The_Political_Economy_of_a_Modern_Pandemic_Assessing_Impacts_of_COVID-19_on_Migrants_and_Immigrants_in_Canada/23739360",2
2,https://openalex.org/W4319655309,"Navigating the Post-COVID Market: A Prospective Analysis of Foreign Trade in the Pearl River Delta, China",2023-02-09,https://doi.org/10.5281/zenodo.7625190,7,"Peng Sun, Xiaode Zuo",submittedVersion: European Organization for Nuclear Research - https://zenodo.org/record/7625190,1
3,https://openalex.org/W4316927004,Impact of Data Pre-Processing on Covid-19 Diagnosis Using Machine Learning Algorithms,2023-01-03,https://doi.org/10.5281/zenodo.7543986,5,"Dina Salem, Esraa.M.Hashim",submittedVersion: European Organization for Nuclear Research - https://zenodo.org/record/7543986,1
4,https://openalex.org/W4321795579,Covid and Productivity in Europe: A Responsiveness Perspective∗,2023-01-01,https://doi.org/10.2139/ssrn.4359120,4,"Russell Cooper, Carl-Wolfram Horn, Leonardo Indraccolo",submittedVersion - https://doi.org/10.2139/ssrn.4359120,1
5,https://openalex.org/W4321795958,"Fintech, Bank Diversification and Liquidity: Evidence from China",2023-01-01,https://doi.org/10.2139/ssrn.4359909,4,"Mengxuan Tang, Yang Hu, Shaen Corbet, Greg Hou, Les Oxley",submittedVersion - https://doi.org/10.2139/ssrn.4359909,1
6,https://openalex.org/W4324127755,The impact of COVID-19 on the philosophy of doing business in a sustainable environment,2023-02-14,https://doi.org/10.5281/zenodo.7733895,3,"Ігор Геннадійович Брітченко, Oksana Polinkevych, Viktor Trynchuk, Inna Khovrak",submittedVersion: European Organization for Nuclear Research - https://zenodo.org/record/7733895,1
7,https://openalex.org/W4366573707,Machine Learning Based Classification and Clustering Analysis of Efficiency of Exercise Against Covid-19 Infection,2023-04-14,https://doi.org/10.5281/zenodo.7851775,3,M. Sharmila Devi,"submittedVersion: European Organization for Nuclear Research - https://zenodo.org/record/7851775, submittedVersion: European Organization for Nuclear Research - https://zenodo.org/record/7407578",2
8,https://openalex.org/W4388115481,Extensive Analysis and Projection of the Impact of High-Risk  Immunity Using a Mathematical Model That Incorporates a Convex  Incidence Rate of Multiple Covid-19 Exposures,2023-04-16,,3,"Mutairu Kayode Kolawole, Morufu Oyedunsi Olayiwola, Adedapo Ismaila Alaje, A. Odeyemi",submittedVersion: Istanbul University - https://dergipark.org.tr/tr/pub/cankujse/issue/80782/1277815,1
9,https://openalex.org/W4318699672,Synthesis and Characterization of Zinc Oxide Nanoparticles and its Use in Water Treatment for the Removal of Paracetamol,2023-01-01,https://doi.org/10.2139/ssrn.4341313,2,"Sharda Pandey, Navina Wadhwani, Rajni Shukla, Himanshu Mishra",submittedVersion - https://doi.org/10.2139/ssrn.4341313,1
