warnlist__name,warnlist__url,warnlist__additional_info,journal__id,journal__issn,journal__display_name,journal__works_count,journal__cited_by_count,journal__country_code,journal__works_api_url,article__id,article__doi,article__title,article__publication_year,article__publication_date,article__cited_by_count,article__is_retracted,article__journal,article__primary_topic,article__primary_field,author__id,author__display_name,author__orcid,institution__id,institution__display_name,institution__ror,institution__country_code,institution__type
Abstract and Applied Analysis,https://www.hindawi.com/journals/aaa/,,https://openalex.org/S54871839,"1085-3375, 1687-0409",Abstract and Applied Analysis,5461,48796,GB,https://api.openalex.org/works?filter=primary_location.source.id:S54871839,https://openalex.org/W2085926441,https://doi.org/10.1155/s1085337597000419,"<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""$N$""><mml:mi>N</mml:mi></mml:math>-Laplacian equations in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""$\mathbb{R}^N$""><mml:mrow><mml:msup><mml:mi>ℝ</mml:mi><mml:mi>N</mml:mi></mml:msup></mml:mrow></mml:math>with critical growth",1997,1997-01-01,274,False,Abstract and Applied Analysis,Fractional Laplacian Operators,Mathematics,https://openalex.org/A5065940783,João Marcos do Ó,https://orcid.org/0000-0001-7039-4365,https://openalex.org/I169045520,Universidade Federal da Paraíba,https://ror.org/00p9vpz11,BR,education
Abstract and Applied Analysis,https://www.hindawi.com/journals/aaa/,,https://openalex.org/S54871839,"1085-3375, 1687-0409",Abstract and Applied Analysis,5461,48796,GB,https://api.openalex.org/works?filter=primary_location.source.id:S54871839,https://openalex.org/W2018094386,https://doi.org/10.1155/aaa/2006/84919,"Bregman distances, totally convex functions, and a method for solving operator equations in Banach spaces",2006,2006-01-01,252,False,Abstract and Applied Analysis,Iterative Algorithms for Nonlinear Operators and Optimization,Computer Science,https://openalex.org/A5064838271,Dan Butnariu,,https://openalex.org/I91203450,University of Haifa,https://ror.org/02f009v59,IL,education
Abstract and Applied Analysis,https://www.hindawi.com/journals/aaa/,,https://openalex.org/S54871839,"1085-3375, 1687-0409",Abstract and Applied Analysis,5461,48796,GB,https://api.openalex.org/works?filter=primary_location.source.id:S54871839,https://openalex.org/W2018094386,https://doi.org/10.1155/aaa/2006/84919,"Bregman distances, totally convex functions, and a method for solving operator equations in Banach spaces",2006,2006-01-01,252,False,Abstract and Applied Analysis,Iterative Algorithms for Nonlinear Operators and Optimization,Computer Science,https://openalex.org/A5012941200,Elena Resmerita,https://orcid.org/0000-0001-6670-8966,https://openalex.org/I4210158379,Johann Radon Institute for Computational and Applied Mathematics,https://ror.org/05a94k872,AT,facility
Abstract and Applied Analysis,https://www.hindawi.com/journals/aaa/,,https://openalex.org/S54871839,"1085-3375, 1687-0409",Abstract and Applied Analysis,5461,48796,GB,https://api.openalex.org/works?filter=primary_location.source.id:S54871839,https://openalex.org/W2018094386,https://doi.org/10.1155/aaa/2006/84919,"Bregman distances, totally convex functions, and a method for solving operator equations in Banach spaces",2006,2006-01-01,252,False,Abstract and Applied Analysis,Iterative Algorithms for Nonlinear Operators and Optimization,Computer Science,https://openalex.org/A5012941200,Elena Resmerita,https://orcid.org/0000-0001-6670-8966,https://openalex.org/I138211613,Austrian Academy of Sciences,https://ror.org/03anc3s24,AT,government
Abstract and Applied Analysis,https://www.hindawi.com/journals/aaa/,,https://openalex.org/S54871839,"1085-3375, 1687-0409",Abstract and Applied Analysis,5461,48796,GB,https://api.openalex.org/works?filter=primary_location.source.id:S54871839,https://openalex.org/W2168203105,https://doi.org/10.1155/2012/793486,Generalized - Contractive Type Mappings and Related Fixed Point Theorems with Applications,2012,2012-01-01,247,False,Abstract and Applied Analysis,Fixed Point Theorems in Metric Spaces,Mathematics,https://openalex.org/A5081792390,Erdal Karapınar,https://orcid.org/0000-0002-6798-3254,https://openalex.org/I45542416,Atilim University,https://ror.org/04pd3v454,TR,education
Abstract and Applied Analysis,https://www.hindawi.com/journals/aaa/,,https://openalex.org/S54871839,"1085-3375, 1687-0409",Abstract and Applied Analysis,5461,48796,GB,https://api.openalex.org/works?filter=primary_location.source.id:S54871839,https://openalex.org/W2168203105,https://doi.org/10.1155/2012/793486,Generalized - Contractive Type Mappings and Related Fixed Point Theorems with Applications,2012,2012-01-01,247,False,Abstract and Applied Analysis,Fixed Point Theorems in Metric Spaces,Mathematics,https://openalex.org/A5015642120,Bessem Samet,https://orcid.org/0000-0002-6769-3417,https://openalex.org/I28022161,King Saud University,https://ror.org/02f81g417,SA,education
Abstract and Applied Analysis,https://www.hindawi.com/journals/aaa/,,https://openalex.org/S54871839,"1085-3375, 1687-0409",Abstract and Applied Analysis,5461,48796,GB,https://api.openalex.org/works?filter=primary_location.source.id:S54871839,https://openalex.org/W2141858378,https://doi.org/10.1155/2012/916793,Asymptotic Methods for Solitary Solutions and Compactons,2012,2012-01-01,234,False,Abstract and Applied Analysis,Anomalous Diffusion Modeling and Analysis,Mathematics,https://openalex.org/A5010513600,Ji‐Huan He,https://orcid.org/0000-0002-1636-0559,https://openalex.org/I3923682,Soochow University,https://ror.org/05t8y2r12,CN,education
Abstract and Applied Analysis,https://www.hindawi.com/journals/aaa/,,https://openalex.org/S54871839,"1085-3375, 1687-0409",Abstract and Applied Analysis,5461,48796,GB,https://api.openalex.org/works?filter=primary_location.source.id:S54871839,https://openalex.org/W2091571469,https://doi.org/10.1155/2008/893409,A Theory of Besov and Triebel‐Lizorkin Spaces on Metric Measure Spaces Modeled on Carnot‐Carathéodory Spaces,2008,2008-01-01,222,False,Abstract and Applied Analysis,Harmonic Analysis and Operator Theory,Mathematics,https://openalex.org/A5100450860,Yongsheng Han,https://orcid.org/0000-0003-3428-0779,https://openalex.org/I82497590,Auburn University,https://ror.org/02v80fc35,US,education
Abstract and Applied Analysis,https://www.hindawi.com/journals/aaa/,,https://openalex.org/S54871839,"1085-3375, 1687-0409",Abstract and Applied Analysis,5461,48796,GB,https://api.openalex.org/works?filter=primary_location.source.id:S54871839,https://openalex.org/W2091571469,https://doi.org/10.1155/2008/893409,A Theory of Besov and Triebel‐Lizorkin Spaces on Metric Measure Spaces Modeled on Carnot‐Carathéodory Spaces,2008,2008-01-01,222,False,Abstract and Applied Analysis,Harmonic Analysis and Operator Theory,Mathematics,https://openalex.org/A5036963156,Detlef Müller,,https://openalex.org/I32021983,Kiel University,https://ror.org/04v76ef78,DE,education
Abstract and Applied Analysis,https://www.hindawi.com/journals/aaa/,,https://openalex.org/S54871839,"1085-3375, 1687-0409",Abstract and Applied Analysis,5461,48796,GB,https://api.openalex.org/works?filter=primary_location.source.id:S54871839,https://openalex.org/W2091571469,https://doi.org/10.1155/2008/893409,A Theory of Besov and Triebel‐Lizorkin Spaces on Metric Measure Spaces Modeled on Carnot‐Carathéodory Spaces,2008,2008-01-01,222,False,Abstract and Applied Analysis,Harmonic Analysis and Operator Theory,Mathematics,https://openalex.org/A5068607724,Dachun Yang,https://orcid.org/0000-0001-9024-3345,https://openalex.org/I25254941,Beijing Normal University,https://ror.org/022k4wk35,CN,education
