,id,title,publication_date,doi,cited_by_count,,authors,locations,location_count,publication_year
0,https://openalex.org/W4318909870,"Overcoming Vaccine Skepticism in Pakistan: A Cross-Sectional Study of Public Knowledge, Attitudes, and Behaviors towards COVID-19 Vaccination",2023-02-02,https://doi.org/10.5281/zenodo.7597141,12,,Bibi Aisha Sadiqa,submittedVersion: European Organization for Nuclear Research - https://zenodo.org/record/7597141,1,2023
1,https://openalex.org/W3197911323,The Political Economy of a Modern Pandemic: Assessing Impacts of COVID-19 on Migrants and Immigrants in Canada,2023-07-24,https://doi.org/10.32920/23739360.v1,7,,"John Shields, Zainab Abu Alrob","submittedVersion - https://doi.org/10.32920/23739360.v1, submittedVersion: La Trobe University - https://figshare.com/articles/journal_contribution/The_Political_Economy_of_a_Modern_Pandemic_Assessing_Impacts_of_COVID-19_on_Migrants_and_Immigrants_in_Canada/23739360",2,2023
2,https://openalex.org/W4386199227,Clinical Rationale for SARS-CoV-2 Base Spike Protein Detoxification in Post COVID-19 and Vaccine Injury Syndromes,2023-08-25,https://doi.org/10.5281/zenodo.8286460,5,,"Peter A. McCullough, Cade Wynn, Brian C Procter",submittedVersion: European Organization for Nuclear Research - https://zenodo.org/record/8286460,1,2023
3,https://openalex.org/W4319655309,"Navigating the Post-COVID Market: A Prospective Analysis of Foreign Trade in the Pearl River Delta, China",2023-02-09,https://doi.org/10.5281/zenodo.7625190,3,,"Peng Sun, Xiaode Zuo",submittedVersion: European Organization for Nuclear Research - https://zenodo.org/record/7625190,1,2023
4,https://openalex.org/W4366573707,Machine Learning Based Classification and Clustering Analysis of Efficiency of Exercise Against Covid-19 Infection,2023-04-14,https://doi.org/10.5281/zenodo.7851775,3,,M. Sharmila Devi,"submittedVersion: European Organization for Nuclear Research - https://zenodo.org/record/7851775, submittedVersion: European Organization for Nuclear Research - https://zenodo.org/record/7407578",2,2023
5,https://openalex.org/W4388115481,Extensive Analysis and Projection of the Impact of High-Risk  Immunity Using a Mathematical Model That Incorporates a Convex  Incidence Rate of Multiple Covid-19 Exposures,2023-04-16,,3,,"Mutairu Kayode Kolawole, Morufu Oyedunsi Olayiwola, Adedapo Ismaila Alaje, A. Odeyemi",submittedVersion: Istanbul University - https://dergipark.org.tr/tr/pub/cankujse/issue/80782/1277815,1,2023
6,https://openalex.org/W4315619055,Post-COVID-19 syndrome: Knowledge gaps.,2023-01-12,https://doi.org/10.19191/ep22.5-6.a537.092,2,,"Miguel Gallegos, Melissa L. Morgan Consoli, Pablo Martino, Mauricio Cervigni",submittedVersion: National Institutes of Health - https://pubmed.ncbi.nlm.nih.gov/36628636,1,2023
7,https://openalex.org/W4367191101,Safety Measures Implemented at Site during COVID-19: A Case from Nepal,2023-04-26,https://doi.org/10.5281/zenodo.7866811,2,,"A. K. Mishra, Anubhav Pokharel, P. S. Aithal",submittedVersion: European Organization for Nuclear Research - https://zenodo.org/record/7866811,1,2023
8,https://openalex.org/W4368894518,Supplementary Information - Human Judgement forecasting of COVID-19 in the UK,2023-05-04,https://doi.org/10.5281/zenodo.7897513,2,,"Nikos I Bosse, Sam Abbott, Johannes Bracher, Edwin van Leeuwen, Anne Cori, Sebastian Funk",submittedVersion: European Organization for Nuclear Research - https://zenodo.org/record/7897513,1,2023
9,https://openalex.org/W4381107002,COVID-19 DURING PREGNANCY,2023-06-18,https://doi.org/10.5281/zenodo.8052294,2,,"Salokhiddinova M.M, Zufarova Sh.A.",submittedVersion: European Organization for Nuclear Research - https://zenodo.org/record/8052294,1,2023
