,id,title,publication_date,doi,cited_by_count,language,authors,locations,journal,location_count,publication_year
0,https://openalex.org/W3013515352,COVID-19 Screening on Chest X-ray Images Using Deep Learning based Anomaly Detection,2020-03-27,,410,en,"Jianpeng Zhang, Yutong Xie, Yi Li, Chunhua Shen, Yong Xia",submittedVersion - https://europepmc.org/article/PPR/PPR346108,,1,2020
1,https://openalex.org/W3032488597,Urban nature as a source of resilience during social distancing amidst the coronavirus pandemic,2020-04-17,https://doi.org/10.31219/osf.io/3wx5a,235,en,"Karl Samuelsson, Stephan Barthel, Johan Colding, Glória Macassa, Matteo Giusti","submittedVersion - https://doi.org/10.31219/osf.io/3wx5a, submittedVersion: None - http://urn.kb.se/resolve?urn=urn:nbn:se:hig:diva-34273, submittedVersion: Federal Reserve Bank of St. Louis - https://osf.io/download/5e997d1fd69735056abe024f/",,3,2020
2,https://openalex.org/W3009111036,Clinical Pathology of Critical Patient with Novel Coronavirus Pneumonia (COVID-19),2020-02-27,,196,en,"Weiren Luo, Hongjie Yu, Jizhou Gou, Xiaoxing Li, Yan Sun, Jinxiu Li, Lei Liu",submittedVersion - http://rucweb.tsg211.com/https/77726476706e69737468656265737421e7e056d237226d406c0187b88b1b2c273e/manuscript/202002.0407/v1,,1,2020
3,https://openalex.org/W3016112654,The COVID-19 risk perception: A survey on socioeconomics and media attention,2020-03-21,https://doi.org/10.17632/wh9xk5mp9m.3,160,en,Toan Luu Duc Huynh,submittedVersion: Springer Nature - https://data.mendeley.com/datasets/wh9xk5mp9m/3,Economics bulletin,1,2020
4,https://openalex.org/W3021418304,Inequality in homeschooling during the Corona crisis in the Netherlands. First results from the LISS Panel.,2020-04-30,https://doi.org/10.31235/osf.io/hf32q,156,en,Thijs Bol,"submittedVersion - https://doi.org/10.31235/osf.io/hf32q, submittedVersion: Center for Open Science - https://osf.io/hf32q/, submittedVersion: Federal Reserve Bank of St. Louis - https://osf.io/download/5eaa699be4f081026b0778f8/",,3,2020
5,https://openalex.org/W3049347329,"Antibody prevalence for SARS-CoV-2 in England following first peak of the pandemic: REACT2 study in 100,000 adults",2020-08-14,https://doi.org/10.1101/2020.08.12.20173690v2,153,en,"Helen Ward, Christina Atchison, Matthew Whitaker, Kylie E. C. Ainslie, Joshua Elliott, Lucy Okell, Rozlyn Redd, Deborah Ashby, Christl A. Donnelly, William Barclay, Ara Darzi, Graham Cooke, Steven Riley, Paul M. Matthews",submittedVersion: Cold Spring Harbor Laboratory Press - http://medrxiv.org/content/10.1101/2020.08.12.20173690v2,medRxiv,1,2020
6,https://openalex.org/W3161903158,The effect of messaging and gender on intentions to wear a face covering to slow down COVID-19 transmission,2020-05-11,https://doi.org/10.31234/osf.io/tg7vz,153,en,"Valerio Capraro, Hélène Barcelo","submittedVersion - https://doi.org/10.31234/osf.io/tg7vz, submittedVersion: University of Milano-Bicocca - https://hdl.handle.net/10281/398091, submittedVersion: Cornell University - https://arxiv.org/abs/2005.05467, submittedVersion: Federal Reserve Bank of St. Louis - http://sabeconomics.org/journal/RePEc/beh/JBEPv1/articles/JBEP-4-S2-5.pdf",,4,2020
7,https://openalex.org/W3008795477,Coronavirus Disease 2019 (COVID-19) During Pregnancy: A Case Series,2020-02-25,,141,en,"Weiyong Liu, Qianli Wang, Qi Zhang, Ling Chen, Junbo Chen, Bo Zhang, Yanjun Lu, Shaoshuai Wang, Liming Xia, Lu Huang, Kai Wang, Lu Liang, Yongli Zhang, Lance Turtle, D. Lissauer, Ke Lan, Ling Feng, Hongjie Yu, Yingle Liu, Ziyong Sun",submittedVersion - https://www.preprints.org/manuscript/202002.0373/v1,,1,2020
8,https://openalex.org/W3012039349,COVID-19: The First Public Coronavirus Twitter Dataset,2020-03-16,,132,en,"Emily Chen, Kristina Lerman, Emilio Ferrara",submittedVersion - https://europepmc.org/article/PPR/PPR346005,,1,2020
9,https://openalex.org/W3077072215,Undergraduate and Graduate Students' Mental Health During the COVID-19 Pandemic,2020-08-17,,129,en,"Igor Chirikov, Krista M. Soria, Bonnie Horgos, Daniel R. Jones-White",submittedVersion - https://escholarship.org/content/qt80k5d5hw/qt80k5d5hw.pdf?t=qf0aui,,1,2020
10,https://openalex.org/W3125113695,Covid-19 Coronavirus and Macroeconomic Policy,2020-03-01,,117,en,"Luca Fornaro, Martin Wolf",submittedVersion: RELX Group (Netherlands) - https://papers.ssrn.com/sol3/Delivery.cfm/DP14529.pdf?abstractid=3560337&mirid=1,SSRN Electronic Journal,1,2020
11,https://openalex.org/W3119849339,Online Learning During Lockdown Period For Covid-19 In India,2020-07-10,https://doi.org/10.31235/osf.io/qu38b,112,en,Pravat Kumar Jena,submittedVersion - https://doi.org/10.31235/osf.io/qu38b,,1,2020
12,https://openalex.org/W3087972439,Public loan guarantees and bank lending in the COVID-19 period,2020-09-24,,109,en,"Matteo Falagiarda, Algirdas Prapiestis, Elena Rancoita",submittedVersion: None - https://ideas.repec.org/a/ecb/ecbbox/202000067.html,Economic Bulletin Boxes,1,2020
13,https://openalex.org/W3112000122,COVID-19 and Its Impact on Society,2020-04-03,,107,en,"Jaspreet Singh, Jagandeep Singh",submittedVersion: RELX Group (Netherlands) - https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3567837_code3990137.pdf?abstractid=3567837&mirid=1&type=2,SSRN Electronic Journal,1,2020
14,https://openalex.org/W3037554407,Older and ‘staying at home’ during lockdown: informal care receipt during the COVID-19 pandemic amongst people aged 70 and over in the UK,2020-06-24,https://doi.org/10.31235/osf.io/962dy,103,en,"Maria Evamdrou, Jane Falkingham, Min Qin, Athina Vlachantoni","submittedVersion - https://doi.org/10.31235/osf.io/962dy, acceptedVersion: University of Southampton - https://eprints.soton.ac.uk/441813/1/Informal_care_during_covid.pdf, submittedVersion: Federal Reserve Bank of St. Louis - https://osf.io/download/5ef26254659828024acf0e08/",,3,2020
